  detector,    energy,     pixel, amplitude,    center,     width,background,  lowerBin,  upperBin,  A4Offset
         0,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   19.0000
         0,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   19.0000
         0,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   19.0000
         0,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   19.0000
         0,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   19.0000
         1,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   17.0000
         1,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   17.0000
         1,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   17.0000
         1,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   17.0000
         1,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   17.0000
         2,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   15.0000
         2,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   15.0000
         2,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   15.0000
         2,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   15.0000
         2,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   15.0000
         3,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   13.0000
         3,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   13.0000
         3,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   13.0000
         3,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   13.0000
         3,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   13.0000
         4,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   11.0000
         4,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   11.0000
         4,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   11.0000
         4,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   11.0000
         4,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   11.0000
         5,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    9.0000
